Pollutant name;CAS Registry Number;Lower (€/kg);Median (€/kg);Upper (€/kg)
Isoproturon;034123-59-6;0.0239;0.0338;0.0437
Cobalt;007440-48-4;0.0294;0.176;0.781
Copper;007440-50-8;0.785;2.28;6.6
Mercury and mercury compounds;007439-97-6;0.4;554;2,819
Lambda-cyhalothrine;091465-08-6;140;202;270
Linuron;000330-55-2;0.247;0.35;0.456
Lead and lead compounds;007439-92-1;0.00519;3.8;19.3
Malathion;000121-75-5;0.0377;0.0535;0.0693
MCPA;000094-74-6;0.00142;0.00208;0.00301
Mecoprop-P;016484-77-8;0;0.000547;0.000708
Metazachlor;067129-08-2;0.0075;0.0106;0.0138
Methabenzthiazuron;018691-97-9;0.00486;0.00688;0.00889
Metolachlor;051218-45-2;0.053;0.0752;0.0975
Metsulfuron-methyl;074223-64-6;1.77;2.51;3.25
Mevinphos;007786-34-7;0.203;0.289;0.374
Molybdenum;007439-98-7;0.00143;0.614;3.45
Monolinuron;001746-81-2;0.00541;0.00767;0.00991
Naphthalene;000091-20-3;0.0135;0.296;0.444
Nickel and nickel compounds;007440-02-0;0.219;4.7;22.6
Nonylphenols;084852-15-3;0.379;0.537;0.695
Octamethylcyclotetrasiloxane;000556-67-2;0;3.04;3.94
Omethoate;001113-02-6;0.00203;0.00292;0.00401
para-para-DDT;000050-29-3;238;356;550
Parathion;000056-38-2;0.519;0.737;0.963
Parathion-methyl;000298-00-0;0.0888;0.129;0.182
Pentachlorobenzene;000608-93-5;3.99;5.93;9.03
Pentachlorophenol;000087-86-5;1.04;1.53;2.26
Pirimicarb;023103-98-2;0.00195;0.00278;0.0037
Pirimiphos-methyl;029232-93-7;0.318;0.453;0.597
Propoxur;000114-26-1;0.0435;0.0617;0.0799
Pyrazon (Chloridazon);001698-60-8;0.00132;0.00188;0.00242
Pyridaben;096489-71-3;18.3;26;33.6
Pyriproxyfen;095737-68-1;1.97;2.79;3.62
Selenium;007782-49-2;0.0728;0.358;1.53
Simazine;000122-34-9;0.022;0.0313;0.0411
Teflubenzuron;083121-18-0;0.335;2.45;3.28
Tellurium;013494-80-9;0;0.261;1.55
Terbutryn;000886-50-0;0.479;0.7;1.01
Terbuthylazine;005915-41-3;0.0243;0.0345;0.0446
Tetrachloroethylene(7);000127-18-4;1.71;2.53;3.8
Carbon tetrachloride;000056-23-5;397;605;977
Thallium;007440-28-0;0.106;25;140
Tin;007440-31-5;0.0334;0.155;0.641
Titanium;007440-32-6;0;0.0123;0.0726
Tolclofos-methyl;057018-04-9;0.0409;0.0595;0.0851
Triazophos;024017-47-8;0.612;0.897;1.31
Tributyl phosphate;000126-73-8;0.000539;0.00276;0.004
Trichlorobenzene;012002-48-1;0;0.00947;0.0123
Trichloroethylene;000079-01-6;0.0305;0.045;0.0677
Trichlorfon;000052-68-6;0.0629;0.0892;0.116
Trichloromethane (chloroform);000067-66-3;1.28;1.9;2.85
Trifluraline (19);001582-09-8;0.411;1.34;1.99
Uranium;007440-61-1;0;0;0
Vanadium;007440-62-2;0.35;1.62;6.18
Xylenes;000095-47-6;0.000712;0.00101;0.00131
Silver;007440-22-4;3.54;15.4;58.2
Zinc;007440-66-6;0.182;7.57;37.3
(epoxyethyl) benzene;000096-09-3;0.348;0.516;0.776
1,2,3,6,7,8-hexachlorodibenzo-p-dioxine;057653-85-7;0;17.4;22.6
1,2,3,7,8-pentachlorodibenzodioxin;040321-76-4;0;590;764
1,2,3-trichlorobenzene;000087-61-6;0.00826;0.0117;0.0151
1,2,3-trichloropropane;000096-18-4;142;212;324
1,2,4-trichlorobenzene;000120-82-1;0.0482;0.071;0.106
1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters;068515-51-5;0;0;0
1,2-benzenedicarboxylic acid, di-C7-11 branched and linear alkyl esters;068515-42-4;0;0;0
1,2-dibromo-3-chloropropane;000096-12-8;328;485;731
1,2-dibromoethane;000106-93-4;55.5;82.6;127
1,2-dichloropropane;000078-87-5;6.8;11.3;17
1,2-epoxy-3-phenoxypropane;000122-60-1;0.855;1.28;1.93
1,3,5,7,9,11-hexabromocyclododecane;025637-99-4;0;0.626;0.81
1,3,5-trichlorobenzene;000108-70-3;0;0.00397;0.00514
1,3-butadiene;000106-99-0;0.747;1.1;1.95
1,3-dichloro-2-propanol;000096-23-1;3.92;5.55;7.19
1,3-propanesultone;001120-71-4;104;154;233
1,3-propiolactone;000057-57-8;806;1,196;1,814
1,4,5,8-tetraaminoanthraquinone;002475-45-8;1.15;1.7;2.56
1,4-dichlorobut-2-ene;000764-41-0;0;88.3;133
1,5,9-cyclododecatrine;004904-61-4;0;0.000115;0.000149
1-bromopropane;000106-94-5;0;0.000146;0.00019
1-methyl-3-nitro-1-nitrosoguanidine;000070-25-7;56.1;82.9;125
1-methylnaphthalene;000090-12-0;0.000488;0.000692;0.000897
2-(2-aminoethylamino)ethanol;000111-41-1;0;0;0
2-(2-methoxyethoxy)ethanol;000111-77-3;0;0.000436;0.000565
2,2'-(nitrosoimino)bisethanol;001116-54-7;61.1;90.3;136
2,2-bis(bromomethyl)propane-1,3-diol;003296-90-0;34.9;51.8;78.3
2,3,7,8-tetrachloordibenzodioxine;001746-01-6;0;18.5;24
2,3,7,8-tetrachlorodibenzofuran;051207-31-9;0;8,427;10,911
2,3-dibromopropane-1-ol;000096-13-9;0;0.0574;0.0744
2,3-dinitrotoluene;000602-01-7;0.655;0.928;1.2
2,3-epoxypropyl-trimethylammoniumchloride;003033-77-0;0;0.000211;0.000273
2,4,5-trimethylaniline;000137-17-7;0;15.3;23.1
2,4,5-trimethylanilinehydrochloride;021436-97-5;0;2.16;3.26
2,4,6-tri-tert-butylphenol;000732-26-3;0;0.0122;0.0158
2,4-diaminoanisole sulfate;039156-41-7;0;7.6;11.4
2,4-dinitrotoluene;000121-14-2;1.37;2.01;2.95
2,5-dinitrotoluene;000619-15-8;0;0.558;0.722
2,6-dinitrotoluene;000606-20-2;412;609;916
2-butenal;004170-30-3;0.00707;0.01;0.013
2-ethoxyethanol;000110-80-5;0.00446;0.0066;0.00994
2-ethoxyethyl acetate;000111-15-9;0.00868;0.0123;0.0159
2-ethylhexanoic acid;000149-57-5;0;0.00148;0.00191
2-methoxyethanol;000109-86-4;0.933;1.38;2.08
2-ethoxyethyl acetate;000110-49-6;0;0.0483;0.0625
2-methylimidazole;000693-98-1;0;0.0337;0.0505
2-methylnaphthalene;000091-57-6;0.0028;0.00405;0.00568
2-naphthylamine;000091-59-8;3.81;5.64;8.49
2-nitroanisole;000091-23-6;7.23;10.7;16.1
2-nitropropane;000079-46-9;0.0202;0.0299;0.045
2-nitrotoluene;000088-72-2;0.00967;14.3;21.6
3,3'-dichlorobenzidine;000091-94-1;69.6;104;156
3,3'-dichlorobenzidine dihydrochloride;000612-83-9;0;0.974;1.47
3,3'-dimethoxybiphenyl-4,4'-ylenediammonium dichloride;020325-40-0;0;87.3;131
3,3'-dimethylbenzidinedihydrochloride;000612-82-8;0;362;545
3,4-dinitrotoluene;000610-39-9;0;0.32;0.415
3,5-dinitrotoluene;000618-85-9;0;0.0583;0.0755
4,4'-(4-iminocyclohexa-2,5-dienylidene methylene)dianiline hydrochloride;000569-61-9;0;6.85;10.3
4,4'-methyleen-bis(2-chlooraniline) hydrochloride;064049-29-2;0;13.8;20.8
4,4'-bi-o-toluidine;000119-93-7;0;0.375;0.485
4,4'-bis(dimethylamino)benzophenone;000090-94-8;0;23.5;35.4
4,4'-methylene bis(2-chloroaniline);000101-14-4;60.2;89.1;134
4,4'-methylenedianiline;000101-77-9;0;0;0
4,4'-methylenedi-o-toluidine;000838-88-0;36.3;53.6;80.8
4,4'-oxydianiline;000101-80-4;6.92;10.2;15.4
4,4'-thiodianiline;000139-65-1;23;33.9;51.1
4-aminoazobenzene;000060-09-3;0;0.732;0.947
4-aminobiphenyl;000092-67-1;85;126;189
4-chloroaniline;000106-47-8;0.0682;0.0974;0.13
4-chloro-o-toluidine hydrochloride;003165-93-3;3.28;4.86;7.31
4-methyl-m-phenylenediamine;000095-80-7;109;161;242
4-nonylphenol, branched;084852-15-3;0.00649;0.00921;0.0119
4-tert-butylbenzoic acid;000098-73-7;0;0.0726;0.0941
4-tert-butylphenol;000098-54-4;0.00307;0.00435;0.00563
5-allyl-1.3-benzodioxole;000094-59-7;0.723;1.07;1.61
5-nitroacenaphthene;000602-87-9;2.1;3.1;4.67
6.6‘-di-tert-butyl-2.2’-methylenedi-p-cresol;000119-47-1;0;0;0
6-methoxy-m-toluidine;000120-71-8;0.993;1.47;2.21
7-oxa-3-oxiranylbicyclo[4.1.0]heptane;000106-87-6;0;0;0
8-hydroxyquinoline;000148-24-3;0;0.025;0.0323
Acenaphthene;000083-32-9;0.00955;0.0137;0.0183
Acridine;000260-94-6;0.152;0.215;0.279
Acrylamide;000079-06-1;559;827;1,247
Acrylonitrile;000107-13-1;4.08;6.05;9.16
Aldrin;000309-00-2;24.6;226;340
Alpha-endosulfan;000959-98-8;6.76;9.6;12.4
Alpha-hexachlorocyclohexane;000319-84-6;132;195;294
Anthracene;000120-12-7;0.119;0.168;0.218
Anthraquinon;000084-65-1;0.0294;0.0416;0.0537
Arsenic;007440-38-2;19.5;168;884
Arsenic pentoxide;001303-28-2;19.5;168;884
Aziridine;000151-56-4;69.2;102;154
Azobenzene;000103-33-3;0.166;5.03;7.52
Azocyclotin;041083-11-8;40.7;59;83.4
Benomyl;017804-35-2;0.0966;0.137;0.179
Benz[a]acridine;000225-11-6;0;11;14.3
Benz[c]acridine;000225-51-4;0;132;171
Benzene;000071-43-2;1.04;1.54;2.68
Benzidine;000092-87-5;5,63;8,323;12,534
Benzidine dihydrochloride;000531-85-1;0;8.43;12.7
Benzo[a]anthracene;000056-55-3;0;0.219;0.284
Benzo[a]pyrene;000050-32-8;1.57;2.31;3.49
Benzophenone;000119-61-9;0;0.122;0.158
Benzotrichloride;000098-07-7;478;706;1,064
Benzyl butyl phthalate;000085-68-7;0.0166;0.0784;0.114
Benzyl chloride;000100-44-7;0.746;1.1;1.66
Beryllium;007440-41-7;0.0566;2.43;13.6
Beta-endosulfan;033213-65-9;3.2;4.54;5.89
Beta-hexachlorocyclohexane;000319-85-7;30.1;45.1;67.9
Binapacryl;000485-31-4;0.174;0.247;0.32
Bis(2-ethylhexyl)phthalate;000117-81-7;0.0123;0.0397;0.0599
Bis(chloromethyl)ether;000542-88-1;55,279;81,719;143,521
Bis(pentabromophenyl)ether;001163-19-5;10.5;16.3;24.7
Bisphenol A;000080-05-7;0.0107;0.0153;0.0203
Brodifacoum;056073-10-0;0.0000524;0.0000742;0.000096
Butane;000106-97-8;0;0;0
Butanon-oxime;000096-29-7;0;0.228;0.343
Butylparaben;000094-26-8;0;0;0
C.I. Basic Violet 3 [containing 0.1 per cent or;000548-62-9;0;20.4;27.6
more Michler’s ketone (EC No 202-027-5)];;;;
Cadmium;007440-43-9;9.34;2,224;11,32
Captafol;002425-06-1;9.84;14.4;21.2
Carbendazim;010605-21-7;0.442;0.63;0.831
Carbetamide;016118-49-3;0.0599;0.0849;0.11
Catechol;000120-80-9;0.0883;0.154;0.227
Quinoline;000091-22-5;0.00552;20.3;30.6
Chlordecone;000143-50-0;1,285;1,904;2,882
Chlorodimethyl ether;000107-30-2;5.53;8.22;12.5
Chlorfenvinphos;000470-90-6;201;297;445
Chloromethyl mercury;000115-09-3;0;652;982
Chlorotriethyl lead;001067-14-7;1.45;2.06;2.67
Chloroprene;000126-99-8;3.49;5.16;10.5
Chromium (VI);018540-29-9;0.363;22,83;34,385
Chrysotile;012001-29-5;0;0.00426;0.0252
Cumatetralyl;005836-29-3;0.00307;0.00435;0.00561
Cumene;000098-82-8;0.000778;0.00115;0.00172
Cyclododecane;000294-62-2;0;0.000014;0.0000181
Cycloheximide;000066-81-9;0;1.53;1.99
Cyhexatin;013121-70-5;0.227;0.335;0.496
DDT, 2,4'-isomer;000789-02-6;0;0.372;0.482
DDT, 4,4'-isomer;000050-29-3;89.1;132;200
Delta-hexachlorocyclohexane;000319-86-8;0.978;1.39;1.8
Dibenzo[a,h]anthracene;000053-70-3;0.421;0.622;0.937
Dibromo-nitrilopropiamide;010222-01-2;0;5.52;7.15
Dibutyl phthalate;000084-74-2;0.063;0.0899;0.119
Dibutyltin di(acetate);001067-33-0;0;0.513;0.665
Dibutyltin dichloride;000683-18-1;0.0924;0.131;0.17
Dibutyl tindilaurate;000077-58-7;0;0.0000078;0.0000101
Dibutyltinoxide;000818-08-6;0;0.000263;0.00034
Dicofol;000115-32-2;254;1,039;1,565
Dieldrin;000060-57-1;425;5,173;7,789
Di-ethylenetriamine pentaacetic acid;000067-43-6;0;0.00244;0.00316
Diphenacoum;056073-07-5;0;0.00011;0.000142
Diphenylchlororesin;000712-48-1;0;0.853;1.1
Dihexyl phthalate;000084-75-3;0;0.000849;0.0011
Diisobutyl phthalate;000084-69-5;0;0.0105;0.0136
Dimethomorph;110488-70-5;0;0.115;0.15
Dimethylcarbamoyl chloride;000079-44-7;47;69.5;105
Dimethyl sulphate;000077-78-1;0;0.0097;0.0126
Dimethyltin dichloride;000753-73-1;5.64;8;10.4
Disodium-{5-[(4’-((2,6-dihydroxy-3-((2-hydroxy-5- sulfophenyl)azo)phenyl)azo)(1,1’-biphenyl)-4- yl)azo]sa;016071-86-6;0;1,26;1,897
Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diyl bis(azo)]bis(4-aminonaphthalene-1-sulphonate);000573-58-0;0;0;0
Dinatrium-4-amino-3-[[4'-[(2,4- diaminofenyl)azo][1,1'-bifenyl]-4-yl]azo]-6- (fenylazo)-5-hydroxynaftal;001937-37-7;0;67.2;101
Dinitrotoluene;025321-14-6;0;15.7;23.7
Dinocap;039300-45-3;0.027;0.0394;0.0567
Dinoseb;000088-85-7;4.61;6.74;9.77
Dinoterb;001420-07-1;1.3;1.84;2.37
Dioxane;000123-91-1;1.01;1.52;2.39
Diuron;000330-54-1;1.72;2.46;3.26
E-2-butenal;000123-73-9;0;26.3;39.6
Endosulfan;000115-29-7;0.959;1.38;1.86
Endrin;000072-20-8;118;174;259
Epichlorohydrin;000106-89-8;14.4;21.5;33.3
Ethanal;000075-07-0;0.0427;0.0631;0.0951
Ethenyl ester of neodecanoic acid;051000-52-3;0;0;0
Ethyl-1-(2,4-dichlorophenyl)-5-(trichloromethyl)- 1H-1,2,4-triazole-3-carboxylate;103112-35-2;2.48;3.51;4.55
Ethylenediamine;000107-15-3;0.00477;0.00677;0.00878
Ethylene oxide;000075-21-8;10.4;17.8;35.5
Ethylenethiourea;000096-45-7;0.452;14;21
Ethyl-p-nitrophenylthiobenzene-phosphenate;002104-64-5;245;363;546
Phenanthrene;000085-01-8;0.0284;0.0403;0.052
Fenantridine;000229-87-8;0;0.571;0.739
Fenbutatin;013356-08-6;1,064;1,574;2,376
Phenolphthalein;000077-09-8;0.0101;0.0149;0.0225
Fentin hydroxide;000076-87-9;14.5;20.6;27
Phenylarsenic acid;000098-05-5;0;0.00146;0.00189
Phenylhydrazine;000100-63-0;0;0.0196;0.0254
Phenylhydrazine chloride;000059-88-1;0;4.89;7.37
Phenylmercury acetate;000062-38-4;256;378;568
Fluazifop-butyl;069806-50-4;0.234;0.331;0.427
Flucythrinate;070124-77-5;161;228;296
Fluoranthene;000206-44-0;0.129;0.184;0.243
Fluorene;000086-73-7;0.00584;0.00843;0.0117
Flurochloridone;061213-25-0;0.448;0.635;0.823
Formaldehyde;000050-00-0;0.00275;0.0039;0.00505
Formamide;000075-12-7;0;0;0
Furan;000110-00-9;27.1;40.1;86.8
Gamma hexachlorocyclohexane;000058-89-9;77.2;114;170
Glufosinate ammonium;077182-82-2;0.106;0.154;0.224
Glutaaraldehyde;000111-30-8;0;0;0
Glycidol;000556-52-5;170;254;389
Heptachloride;000076-44-8;19.6;29;43.6
Heptachlor epoxide;001024-57-3;16,657;24,631;37,115
Heptachloronorbornene;028680-45-7;0;0.0615;0.0797
Hexachlorobenzene;000118-74-1;180;267;403
Hexachlorobutadiene;000087-68-3;0.021;19.5;29.3
Hexachlorocyclohexane;000608-73-1;79.4;117;175
Hexachlorocyclopentadiene;000077-47-4;55.1;81.4;123
Hexadecafluorheptane;000335-57-9;0;0;0
Hexahydrophthalic acid anhydride;000085-42-7;0;0;0
Hexamethylphosphoramide;000680-31-9;861;1,273;1,917
Hydrazine;000302-01-2;64.3;94.8;141
Hydrazobenzene;000122-66-7;0;12.7;19.1
Imidazole;000288-32-4;0;0;0
Isobutane;000075-28-5;0;0;0
Isobutyl nitrite;000542-56-3;0;0.688;1.04
Isodrin;000465-73-6;0;1.1;1.43
Isoprene;000078-79-5;0.0693;0.102;0.207
Isoquinoline;000119-65-3;0.00963;0.0137;0.0177
Cacodylic acid;000075-60-5;3.08;4.55;6.85
Cobalt;007440-48-4;0.000557;0.0941;0.551
Mercury;007439-97-6;1.69;280;1,425
Linuron;000330-55-2;0.153;0.219;0.295
Lead;007439-92-1;0.969;23;118
Lead styphnate;015245-44-0;0;0.000198;0.000256
Mancozeb;008018-01-7;0.927;1.32;1.74
M-bis(2,3-epoxypropoxy)benzene;000101-90-6;55.9;82.6;124
Methoxy chloride;000072-43-5;0.326;0.464;0.607
Methyl hydrazine;000060-34-4;0.459;8.17;12.2
Mirex;002385-85-5;293;443;704
Musk xylene;000081-15-2;0;14.2;21.3
N-(1,3-dimethylbutyl)-N'-phenyl-1,4- benzenediamine;000793-24-8;0;0;0
N,N,N',N'-tetramethyl-4,4’-methylenedianiline;000101-61-1;0;68.5;103
N,N-dimethylacetamide;000127-19-5;0;0;0
N,N-dimethylformamide;000068-12-2;0.572;0.845;1.27
N,N-dimethylhydrazine;000057-14-7;8.55;12.6;19
Naphthalene;000091-20-3;0.0383;3.11;4.68
Sodium cacodylate;000124-65-2;0.0164;0.0233;0.0302
Sodium pentachlorophenolate;000131-52-2;0.198;0.281;0.364
N-butyltin trichloride;001118-46-3;1.11;1.58;2.04
Nickel;007440-02-0;5.8;45.1;287
Nitrobenzene;000098-95-3;1.87;2.76;4.16
Nitrophene;001836-75-5;6.97;10.3;15.5
Nitrosodipropylamine;000621-64-7;125;185;278
N-methyl-2-pyrrolidon;000872-50-4;0;0.0641;0.0965
N-methylol acrylamide;000924-42-5;0;420;632
N-nitrosodimethylamine;000062-75-9;1,223;1,81;2,731
Nonylphenol;025154-52-3;0.000445;0.000631;0.000817
O-aminoazotoluene;000097-56-3;125;185;278
O-anisidine;000090-04-0;0;0.118;0.153
Octachlorinated naphthalene;002234-13-1;0;0;0
Octamethyltetrasiloxane;000556-67-2;0;0.0334;0.0433
O-toluidine;000095-53-4;0.00494;0.00701;0.00909
P-(1,1-dimethylpropyl)phenol;000080-46-6;0;0.172;0.223
Para-tert-octylphenol;000140-66-9;0.00357;0.00506;0.00654
PCB 101;037680-73-2;0;0.681;0.882
PCB 77;032598-13-3;0;0.386;0.5
Pentachloranisole;001825-21-4;0;46.4;69.8
Pentachlorobenzene;000608-93-5;3.34;4.96;7.56
Pentachloroethane;000076-01-7;0.00233;29.4;44.3
Pentachlorophenol;000087-86-5;14.8;21.9;32.8
Pentasodium diethylene-triaminepentaacetic acid;000140-01-2;0;0.00064;0.000829
P-nonylphenol;000104-40-5;0.000479;0.00068;0.000879
Polychlorinated biphenyls;001336-36-3;0;386;582
Propiconazole;060207-90-1;0.605;0.88;1.25
Propylene oxide;000075-56-9;2.49;3.84;6.37
Pyrene;000129-00-0;0.27;0.383;0.498
Pyrithione zinc;013463-41-7;0;0;0
Roxarsone;000121-19-7;0;0;0
Sulphallate;000095-06-7;1.96;3.07;4.59
Tellurium;013494-80-9;0;0.261;1.55
Terphenyl;026140-60-3;0;0;0
Tetrabromobisphenol A;000079-94-7;0.00366;0.00527;0.00708
Tetrabutyltin;001461-25-2;0.0000177;0.0000251;0.0000326
Tetraethyl lead;000078-00-2;324;478;720
Tetrafluoroethylene;000116-14-3;5.94;8.79;13.3
Tetrahydro-2-furylmethanol;000097-99-4;0;0.0016;0.00208
Tetramethyl lead;000075-74-1;0.00184;0.0026;0.00337
Tetrasodium-3,3'-[[1,1'-biphenyl]-4,4'- diylbis(azo)]bis[5-amino-4-hydroxynaphthalene- 2,7-disulfonate];002602-46-2;0;23,068;34,737
Tetrasul;002227-13-6;0;0.000558;0.000723
Theophylline;000058-55-9;0;0;0
Thioacetamide;000062-55-5;7.67;11.3;17.1
Thiomersal;000054-64-8;0.0571;0.0811;0.105
Toxaphene;008001-35-2;1,365;2,032;3,11
Triadimenol;055219-65-3;0.411;0.598;0.849
Tributyltin;000688-73-3;0.00795;0.0113;0.0146
Tributyltin oxide;000056-35-9;0.00235;0.00347;0.00522
Trichlorobenzene;012002-48-1;0;0.0035;0.00453
Trichloroethylene;000079-01-6;0.084;0.124;0.263
Tridemorph;024602-86-6;0;46.5;60.2
Triphenyltin acetate;000900-95-8;0.253;0.362;0.484
Triphenyltin chloride;000639-58-7;0.146;0.215;0.32
Triflumizole;068694-11-1;1.02;1.44;1.85
Trifluraline;001582-09-8;0.715;2.68;4.02
Tris(2,3-dibromopropyl)phosphate;000126-72-7;2.18;3.24;4.87
Tris(2-chloroethyl)phosphate;000115-96-8;0.00321;0.628;0.945
Triton X-100;009002-93-1;0.0000213;0.0000302;0.0000392
Trixylyl phosphate;025155-23-1;0;0.00169;0.00219
Urethane;000051-79-6;5.43;8.02;12.1
Vinchlozolin;050471-44-8;1.68;2.48;3.71
Vinyl bromide;000593-60-2;2.24;3.31;5.6
Vinyl chloride;000075-01-4;6.49;9.59;14.6
Warfarin;000081-81-2;22.4;33.1;49.8
